,ret_1d,ret_5d,ma_gap,vol_20,dxy_chg_5d_dir,us10y_chg_5d_dir,cpi_surprise_dir,nfp_surprise_dir,fed_exp_level,fed_exp_chg,demand_chg_5d,gpr_level_z,gpr_chg_5d,ev_supply_5d,ev_geo_5d,ev_demand_5d,ev_cpi_5d,ev_jobs_5d,ev_fed_5d,ev_view_5d,inst_bias
2023-09-04,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,
2023-09-05,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,
2023-09-06,0.009757294882200007,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,
2023-09-07,-0.007683083490920062,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,
2023-09-08,0.0073403242759111365,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,
2023-09-11,-0.0025171638004817254,,0.001268689105232923,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-12,0.01760109027896828,0.024498462145677635,0.015724816153500853,0.010052543197226168,0.11792365431569918,-0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-13,-0.003608483843377641,0.011132683420099987,0.010385427694391325,0.009638866307803242,0.6664637133401818,0.04999999999999982,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-14,0.018357354548672156,0.037173121459692204,0.025149934462680434,0.010442003336802341,0.584898419716473,-0.020000000000000462,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-15,0.006742964807014751,0.03657576199079582,0.028349243795284806,0.009675759030081783,0.6137887205559855,-0.07000000000000028,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-18,0.007791534616044871,0.046884460407322415,0.03252670057019724,0.009076421102938416,0.11933547939403377,-0.03000000000000025,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
